brand,model,car_type,img_url,price,drive,hp,weight,torque,w_kg
Audi,R8 5.2 FSI quattro Chrome Line,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0048.jpg,229000,4WD,527,1598,540,246 to 627 W/Kg
Audi,R8 LMS '09,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0056.jpg,1575000,MR,513,1300,,294 to ? W/Kg
Audi,R8 LMS (Team PlayStation) '09,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0057.jpg,1575000,MR,513,1300,,294 to ? W/Kg
Audi,R8 LMS - Team Oreca '10,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0055.jpg,1575000,MR,560,1340,500,312 to 528 W/Kg
Audi,R8 LMS ultra '12,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0058.jpg,400000,MR,562,1250,500,335 to ? W/Kg
Audi,R8 LMS ultra (Audi Sport Team Phoenix) '12,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0059.jpg,400000,MR,562,1250,500,335 to 573 W/Kg
Audi,R8 LMS ultra 15th Anniversary Edition '12,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1159.jpg,450000,MR,592,1250,,353 to ? W/Kg
Audi,R8 Race Car '01,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0067.jpg,1925000,MR,759,900,700,629 to ? W/Kg
Audi,RS 4 '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0042.jpg,41380,4WD,380,1620,440,175 to ? W/Kg
Audi,RS 6 '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0044.jpg,117060,4WD,444,1840,560,180 to ? W/Kg
Audi,RS 6 Avant '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0043.jpg,117060,4WD,444,1880,560,176 to ? W/Kg
Audi,RS 6 Avant '08,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0047.jpg,166000,4WD,572,2025,650,211 to 524 W/Kg
Audi,S3 '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0034.jpg,41070,4WD,221,1420,280,116 to 266 W/Kg
Audi,S4 '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0041.jpg,55430,4WD,339,1660,410,152 to ? W/Kg
Audi,S4 '98,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0038.jpg,71220,4WD,261,1510,400,129 to 419 W/Kg
Audi,Sport quattro S1 Pikes Peak '87,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0063.jpg,1450000,4WD,590,1000,590,440 to 478 W/Kg
Audi,Sport quattro S1 Rally Car '86,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0050.jpg,1450000,4WD,455,1090,480,312 to ? W/Kg
Audi,Sport quattro S1 Rally Car 15th Anniversary Edition '86,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1160.jpg,3000000,FR,488,1090,,334 to 408 W/Kg
Audi,TT Coupe 1.8T quattro '00,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0035.jpg,47700,4WD,222,1395,280,118 to 275 W/Kg
Audi,TT Coupe 3.2 quattro '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0036.jpg,57740,4WD,246,1520,320,121 to 268 W/Kg
Audi,TT Coupe 3.2 quattro '07,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0039.jpg,59000,4WD,246,1410,319,130 to 291 W/Kg
Audi,TTS Coupe '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0040.jpg,68000,4WD,268,1415,350,141 to 330 W/Kg
Audi,quattro '82,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0033.jpg,90360,4WD,200,1290,289,116 to 304 W/Kg
Autobacs,ARTA Garaiya '03,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0321.jpg,250000,MR,296,1125,490,196 to ? W/Kg
Autobacs,ARTA Garaiya '08,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0322.jpg,500000,MR,296,1175,392,188 to 442 W/Kg
Autobacs,Garaiya '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0320.jpg,65000,MR,201,800,206,188 to ? W/Kg
Autobacs,Garaiya GT300 Base Model '08,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0323.jpg,500000,MR,296,1175,392,188 to 442 W/Kg
Autobianchi,A112 Abarth '79,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0068.jpg,39430,FF,70,700,85,74 to 273 W/Kg
Ayrton Senna,DAP Racing Kart #17 '80,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1343.jpg,100000,MR,30,63,12,349 to 349 W/Kg
Ayrton Senna,LOTUS 97T '85,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1345.jpg,3000000,MR,999,540,667,1380 to 1450 W/Kg
Ayrton Senna,"West Surrey Racing, 1983 Ayrton Senna",Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1344.jpg,1000000,MR,165,455,216,270 to 284 W/Kg
BLITZ,DUNLOP ER34 SKYLINE '07,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0325.jpg,250000,FR,565,1252,680,336 to ? W/Kg
BLITZ,ER34 D1 SPEC '04,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0324.jpg,200000,FR,454,1180,,286 to ? W/Kg
BMW,120d '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0073.jpg,33020,FR,161,1415,340,85 to ? W/Kg
BMW,120i '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0071.jpg,31940,FR,148,1335,200,82 to ? W/Kg
BMW,135i Coupé '07,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0078.jpg,64300,FR,302,1560,400,144 to 383 W/Kg
BMW,2002 Turbo '73,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0072.jpg,56800,FR,170,1080,240,118 to ? W/Kg
BMW,320i Touring Car '03,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0077.jpg,200000,FR,256,1140,225,168 to 318 W/Kg
BMW,330i '05,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0075.jpg,48040,FR,254,1525,300,125 to 266 W/Kg
BMW,507 '57,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0070.jpg,85000,FR,148,1240,235,89 to 287 W/Kg
BMW,Concept 1 Series tii '07,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0079.jpg,70000,FR,296,1520,,145 to 391 W/Kg
BMW,E92 M3 (BMW Motorsport) '10,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0090.jpg,350000,FR,500,1245,500,300 to ? W/Kg
BMW,M Coupe '98,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0076.jpg,78900,FR,316,1465,350,161 to ? W/Kg
BMW,M3 '04,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0081.jpg,74560,FR,338,1570,365,161 to 303 W/Kg
BMW,M3 CSL '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0084.jpg,113610,FR,355,1385,370,191 to 340 W/Kg
BMW,M3 Coupé '07,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0083.jpg,92400,FR,414,1655,400,187 to 346 W/Kg
BMW,M3 Coupé Chrome Line,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0085.jpg,106000,FR,434,1625,400,199 to 337 W/Kg
BMW,M3 GT (BMW Motorsport) '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0091.jpg,350000,FR,500,1245,500,300 to ? W/Kg
BMW,M3 GT2 Base Model '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1207.jpg,350000,FR,500,1245,500,300 to ? W/Kg
BMW,M3 GTR '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0086.jpg,341020,FR,375,1350,390,207 to ? W/Kg
BMW,M3 GTR Race Car '01,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0089.jpg,1000000,FR,444,1120,480,296 to ? W/Kg
BMW,M4 Coupé,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1208.jpg,120000,FR,425,1497,550,212 to 241 W/Kg
BMW,M4 M Performance Edition,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1355.jpg,120000,FR,425,1497,550,212 to ? W/Kg
BMW,M5 '05,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0088.jpg,116650,FR,500,1715,520,217 to ? W/Kg
BMW,M5 '08,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0087.jpg,137000,FR,500,1855,520,201 to 416 W/Kg
BMW,McLaren F1 GTR Race Car '97,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0093.jpg,1800000,MR,585,950,,459 to 711 W/Kg
BMW,V12 LMR '99,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0094.jpg,1900000,MR,572,900,670,474 to 808 W/Kg
BMW,Vision GT,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1241.jpg,1000000,FR,541,1180,676,? to 359 W/Kg
BMW,Z4 '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0074.jpg,38600,FR,228,1365,300,125 to ? W/Kg
BMW,Z4 GT3 '11,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0092.jpg,350000,FR,508,1190,515,318 to ? W/Kg
BMW,Z4 M Coupe '08,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0080.jpg,69500,FR,338,1495,365,169 to ? W/Kg
BMW,Z8 '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0082.jpg,166000,FR,394,1610,500,183 to ? W/Kg
BMW,Z8 15th Anniversary Edition '01,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1162.jpg,166000,FR,414,1580,,196 to 356 W/Kg
Bentley,Speed 8 '03,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0069.jpg,1900000,MR,623,900,760,517 to ? W/Kg
Bugatti,Veyron 16.4 '09,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0095.jpg,2000000,4WD,956,1888,1254,378 to ? W/Kg
Bugatti,Veyron 16.4 '13,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0096.jpg,2000000,4WD,956,1888,1254,378 to 703 W/Kg
Buick,GNX '87,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1019.jpg,31080,FR,276,1600,488,129 to ? W/Kg
Buick,Special,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1020.jpg,725000,FR,556,1364,794,304 to ? W/Kg
Cadillac,CIEN '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1022.jpg,1250000,MR,749,,610,? to ? W/Kg
Cadillac,CTS-V Coupe '11,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1021.jpg,90000,FR,556,1940,746,214 to ? W/Kg
Callaway,C12 '03,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1023.jpg,175880,FR,433,1480,520,218 to ? W/Kg
Caterham,Seven Fireblade '02,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0097.jpg,60000,FR,138,369,122,279 to 552 W/Kg
Chaparral,2D '67,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1024.jpg,3750000,MR,420,924,515,339 to ? W/Kg
Chaparral,2J '70,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1025.jpg,4500000,MR,679,821,,618 to 945 W/Kg
Chaparral,Chevrolet Chaparral 2X Vision Gran Turismo,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1358.jpg,1000000,,905,450,,1500 to 1500 W/Kg
Chevrolet,2010 Dale Earnhardt Jr. #88 AMP Energy/ National Guard CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1224.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2010 Jeff Gordon #24 DuPont CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1221.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2010 Jimmie Johnson #48 Lowe's CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1223.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2010 Juan Montoya #42 Target CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1222.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2010 Tony Stewart #14 Office Depot/Old Spice CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1220.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2011 Dale Earnhardt Jr. #88 AMP Energy/ NG CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1209.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2011 Jeff Gordon #24 Drive to End Hunger CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1211.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2011 Jimmie Johnson #48 Lowe's CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1213.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2011 Juan Montoya #42 Target CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1212.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2011 Tony Stewart #14 Office Depot CHEVROLET IMPALA,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1210.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2013 Dale Earnhardt Jr. #88 National Guard CHEVROLET SS,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1060.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2013 Jeff Gordon #24 Drive to End Hunger CHEVROLET SS,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1057.jpg,500000,FR,,,,? to 426 W/Kg
Chevrolet,2013 Jimmie Johnson #48 Lowe's CHEVROLET SS,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1059.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2013 Juan Montoya #42 Target CHEVROLET SS,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1058.jpg,500000,FR,,,,? to ? W/Kg
Chevrolet,2013 Tony Stewart #14 Bass Pro Shops CHEVROLET SS,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1056.jpg,500000,FR,824,1565,,393 to ? W/Kg
Chevrolet,Camaro IROC-Z Concept '88,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1028.jpg,45000,FR,230,1468,447,116 to ? W/Kg
Chevrolet,Camaro LM Race Car,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1053.jpg,1450000,FR,575,1160,,370 to ? W/Kg
Chevrolet,Camaro SS '00,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1035.jpg,22150,FR,319,1560,350,153 to ? W/Kg
Chevrolet,Camaro SS '10,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1043.jpg,35000,FR,426,1755,569,181 to 422 W/Kg
Chevrolet,Camaro SS '69,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1031.jpg,60000,FR,300,1401,515,160 to ? W/Kg
Chevrolet,Camaro SS Touring Car '10,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1052.jpg,177500,FR,558,1210,,344 to ? W/Kg
Chevrolet,Camaro Z28 '69,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1032.jpg,65000,FR,290,1415,393,153 to ? W/Kg
Chevrolet,Camaro Z28 Coupe '97,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1030.jpg,24110,FR,285,1561,440,136 to ? W/Kg
Chevrolet,Camaro Z28 Race Car '69,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1048.jpg,215000,FR,411,1085,,283 to ? W/Kg
Chevrolet,Chevelle SS 454 '70,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1042.jpg,70000,FR,450,1762,677,190 to ? W/Kg
Chevrolet,Corvette C5-R (C5) '00,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_1054.jpg,1450000,FR,620,1139,670,406 to ? W/Kg
Chevrolet,Corvette C7 Test Prototype,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1047.jpg,100000,FR,442,1500,,220 to 551 W/Kg
